ааб	AA P <SPACE>
жалсанов	ZH A L S A N O F <SPACE>
жамсаевнатанай	ZH A M S EH J EH V N A T EE <SPACE>
жанрда	ZH A N R D EH <SPACE>
жапович	ZH A P O VJ I CH <SPACE>
жаповичай	ZH A P O VJ I CH EE <SPACE>
жаргал	ZH A R Gr EH L <SPACE>
жаргалай	ZH A R Gr EH L EE <SPACE>
жаргалова	ZH A R Gr A L O V A <SPACE>
жаргалтай	ZH A R Gr EH L T EE <SPACE>
жаргалтайб	ZH A R Gr EH L T EE P <SPACE>
жарган	ZH A R Gr EH NG <SPACE>
жаяг	ZH A J EH K <SPACE>
жизель	ZH E Z E LJ <SPACE>
жиирэй	ZH Y R EE <SPACE>
жирафууд	ZH Y R A F UUh T <SPACE>
журамтай	ZH A R EH M T EE <SPACE>
жэгтэй	ZH E G T EE <SPACE>
жэл	ZH E L <SPACE>
жэлдэ	ZH E L D EH <SPACE>
жэлдээ	ZH E L D EE <SPACE>
жэлнүүд	ZH E L N UUs T <SPACE>
жэлэй	ZH E L EE <SPACE>
жэлэйнгээ	ZH E L EE NG G EE <SPACE>
жэлээр	ZH E L EE R <SPACE>
жэнхэни	ZH E N H EH NJ I <SPACE>
жэргэмэл	ZH E R Gr EH M EH L <SPACE>
жэшээ	ZH E SH EE <SPACE>
жэшээгээр	ZH E SH EE Gr EE R <SPACE>
жэшээлэн	ZH E SH EE L EH NG <SPACE>
жэшээнь	ZH E SH EE NJ <SPACE>
жээрэб	ZH EE R EH P <SPACE>
жюриин	ZH Uh RJ II NG <SPACE>
жүрөөдэһэн	ZH Us R OOs D EH HH EH NG <SPACE>
заабол	Z AA V EH L <SPACE>
заагдадаг	Z AA G D EH D EH K <SPACE>
заадаг	Z AA D EH K <SPACE>
заажа	Z AA ZH EH <SPACE>
заалаар	Z AA L AA R <SPACE>
заанаб	Z AA N EH P <SPACE>
зааниие	Z AA NJ II J EH <SPACE>
заатагүй	Z AA T EH Gr UIs <SPACE>
зааха	Z AA H EH <SPACE>
зааһан	Z AA HH EH NG <SPACE>
забайкалиин	Z A B A J K A LJ II NG <SPACE>
загастай	Z A Gr EH S T EE <SPACE>
зай	Z EE <SPACE>
зайгаа	Z EE Gr AA <SPACE>
зайн	Z EE NG <SPACE>
заказник	Z A K A Z NJ I K <SPACE>
зал	Z A L <SPACE>
залуу	Z A L UUh <SPACE>
залуудаа	Z A L UUh D AA <SPACE>
залуухан	Z A L UUh H EH NG <SPACE>
залуушуулай	Z A L UUh SH UUh L EE <SPACE>
залуушуулда	Z A L UUh SH UUh L D EH <SPACE>
залуушуулые	Z A L UUh SH UUh L Y J EH <SPACE>
залхуурдаг	Z A L H UUh R D EH K <SPACE>
замаар	Z A M AA R <SPACE>
замай	Z A M EE <SPACE>
зан	Z A NG <SPACE>
зандааб	Z A N D AA P <SPACE>
зандин	Z A N DJ I NG <SPACE>
зандинаархиниие	Z A N DJ I N AA R HJ I NJ II J EH <SPACE>
зандинда	Z A N DJ I N D EH <SPACE>
зандиниие	Z A N DJ I NJ II J EH <SPACE>
зандинһаа	Z A N DJ I N HH AA <SPACE>
зандинһаамни	Z A N DJ I N HH AA M NJ I <SPACE>
зантай	Z A N T EE <SPACE>
заншал	Z A N SH EH L <SPACE>
заншалаа	Z A N SH EH L AA <SPACE>
заншалта	Z A N SH EH L T EH <SPACE>
заншалтай	Z A N SH EH L T EE <SPACE>
заншалһаа	Z A N SH EH L HH AA <SPACE>
заочноор	Z A O CH N OOh R <SPACE>
зарим	Z A RJ I M <SPACE>
засаг	Z A S EH K <SPACE>
заха	Z A H EH <SPACE>
захааминай	Z A H AA MJ I N EE <SPACE>
захалаад	Z A H EH L AA T <SPACE>
захалба	Z A H EH L V EH <SPACE>
захяа	Z A HJ AA <SPACE>
заяамни	Z A J AA M NJ I <SPACE>
заяан	Z A J AA NG <SPACE>
заяанай	Z A J AA N EE <SPACE>
зибарева	Z A B A RJ E V A <SPACE>
зободог	Z O V EH D EH K <SPACE>
зобоһон	Z O V EH HH EH NG <SPACE>
зогсожо	Z O K S EH ZH EH <SPACE>
зогсон	Z O K S EH NG <SPACE>
зодоо	Z O D OOh <SPACE>
зол	Z O L <SPACE>
золгоо	Z O L Gr OOh <SPACE>
золгооб	Z O L Gr OOh P <SPACE>
золгохобиб	Z O L Gr EH H EH V I P <SPACE>
золгоһон	Z O L Gr O HH EH NG <SPACE>
золтойдоо	Z O L T EE D OOh <SPACE>
зомнайшье	Z Uh M N EE SH J EH <SPACE>
зон	Z O NG <SPACE>
зондо	Z O N D EH <SPACE>
зондоо	Z O N D OOh <SPACE>
зониие	Z O NJ II J EH <SPACE>
зоной	Z O N EE <SPACE>
зонойнгоо	Z O N EE NG G OOh <SPACE>
зоноо	Z O N OOh <SPACE>
зонтой	Z O N T EE <SPACE>
зонуудые	Z O N UUh D Y J EH <SPACE>
зонһоо	Z O N H OOh <SPACE>
зориг	Z O RJ I K <SPACE>
зорижо	Z O RJ I ZH EH <SPACE>
зорилго	Z O RJ I L Gr EH <SPACE>
зорилгодо	Z O RJ I L Gr EH D EH <SPACE>
зорилготой	Z O RJ I L Gr EH T EE <SPACE>
зориһон	Z O RJ I HH EH NG <SPACE>
зориһоные	Z O RJ I HH EH N Y J EH <SPACE>
зорюулагдаһан	Z O RJ UUh L EH G D EH HH EH NG <SPACE>
зорюулха	Z O RJ UUh L H EH <SPACE>
зорюулһан	Z O RJ UUh L HH EH NG <SPACE>
зосоо	Z O S OOh <SPACE>
зохеолнууд	Z O HJ OOh L N UUh T <SPACE>
зохидхон	Z O HJ I T H EH NG <SPACE>
зохёогшо	Z O HJ OOh K SH EH <SPACE>
зохёол	Z O HJ OOh L <SPACE>
зохёолнууд	Z O HJ OOh L N UUh T <SPACE>
зохёолнуудаа	Z O HJ OOh L N UUh D AA <SPACE>
зохёолнуудые	Z O HJ OOh L N UUh D Y J EH <SPACE>
зохёолой	Z O HJ OOh L EE <SPACE>
зохёолшод	Z O HJ OOh L SH EH T <SPACE>
зохёолшодой	Z O HJ OOh L SH EH D EE <SPACE>
зохёолые	Z O HJ OOh L Y J EH <SPACE>
зохёохо	Z O HJ OOh H EH <SPACE>
зохёохы	Z O HJ OOh H Y <SPACE>
зохёоһон	Z O HJ OOh HH EH NG <SPACE>
зубхиёо	Z Uh P HJ I J OOh <SPACE>
зугаа	Z Uh Gr AA <SPACE>
зугаатай	Z Uh Gr AA T EE <SPACE>
зугааша	Z Uh Gr AA SH EH <SPACE>
зугадаа	Z Uh Gr EH D AA <SPACE>
зузаан	Z Uh Z AA NG <SPACE>
зунай	Z Uh N EE <SPACE>
зундаа	Z Uh N D AA <SPACE>
зурааша	Z Uh R AA SH AA <SPACE>
зураашанайруулагшаар	Z Uh R AA SH EH N EE R UUh L EH K SH AA R <SPACE>
зураашадаар	Z Uh R AA SH EH D AA R <SPACE>
зураг	Z Uh R EH K <SPACE>
зурагай	Z Uh R EH Gr EE <SPACE>
зураглагдана	Z Uh R EH G L EH G D EH N EH <SPACE>
зураглажа	Z Uh R EH G L EH ZH EH <SPACE>
зурагта	Z Uh R EH K T EH <SPACE>
зурагууд	Z Uh R EH Gr UUh T <SPACE>
зурагуудай	Z Uh R EH Gr UUh D EE <SPACE>
зурагуудтай	Z Uh R EH Gr UUh T T EE <SPACE>
зурана	Z Uh R EH N EH <SPACE>
зураха	Z Uh R EH H EH <SPACE>
зургаадахи	Z Uh R Gr AA D EH HJ I <SPACE>
зургаанда	Z Uh R Gr AA N D EH <SPACE>
зуун	Z UUh NG <SPACE>
зуураа	Z UUh R AA <SPACE>
зууршалагдаһан	Z UUh R SH EH L EH Gr D EH HH EH NG <SPACE>
зэбсэгүүдые	Z E P S EH Gr UUs D Y J EH <SPACE>
зэдын	Z E D Y NG <SPACE>
зэдэлшэхэдэл	Z E D EH L SH EH H EH D EH L <SPACE>
зэдэлһэн	Z E D EH L HH EH NG <SPACE>
зэмэлнэб	Z E M EH L N EH P <SPACE>
зэргэ	Z E R Gr EH <SPACE>
зэргэдэ	Z E R Gr EH D EH <SPACE>
зэрлиг	Z E R LJ I K <SPACE>
зээ	Z EE <SPACE>
зүб	Z Us P <SPACE>
зүбшөөл	Z Us P SH OOs L <SPACE>
зүг	Z Us K <SPACE>
зүгын	Z Us Gr Y NG <SPACE>
зүгэй	Z Us Gr EE <SPACE>
зүгһөө	Z Us G HH OOs <SPACE>
зүгөөр	Z Us Gr OOs R <SPACE>
зүдхэли	Z Us D H EH LJ I <SPACE>
зүдхэлиин	Z Us D EH LJ II NG <SPACE>
зүжэг	Z Us ZH EH K <SPACE>
зүжэгтэ	Z Us ZH EH K T EH <SPACE>
зүжэгшэн	Z Us ZH EH K SH EH NG <SPACE>
зүжэгынь	Z Us ZH EH Gr Y NJ <SPACE>
зүжэгүүдтэ	Z Us ZH EH Gr UUs T T EH <SPACE>
зүйлнүүд	Z UIs L N UUs T <SPACE>
зүлхэ	Z Us L H EH <SPACE>
зүлхэйн	Z Us L H EE NG <SPACE>
зүрхые	Z Us R H Y J EH <SPACE>
зүрхэ	Z Us R H EH <SPACE>
зүрхэмни	Z Us R H EH M NJ I <SPACE>
зүрхэнэйм	Z Us R H EH N EE M <SPACE>
зүрхэнэйнгөө	Z Us R H EH N EE NG G OOs <SPACE>
зүрхэнһөө	Z Us R H EH N HH OOs <SPACE>
зүүн	Z UUs NG <SPACE>
зөөлэн	Z OOs L EH NG <SPACE>
зөөри	Z OOs RJ I <SPACE>
зөөриин	Z OOs RJ II NG <SPACE>
зөөритэй	Z OOs RJ I T EE <SPACE>
зөөхэй	Z OOs H EE <SPACE>
и	I <SPACE>
ивалгын	I V EH L Gr Y NG <SPACE>
иванов	I V A N O F <SPACE>
ивановна	I V A N O V N A <SPACE>
ивановой	I V A N O V EE <SPACE>
ивановтой	I V A N O F T EE <SPACE>
ивато	I V A T O <SPACE>
из	I Z <SPACE>
иигэжэ	II Gr EH ZH EH <SPACE>
иигэжэл	II Gr EH ZH EH L <SPACE>
иигээд	II Gr EE T <SPACE>
иимэ	II M EH <SPACE>
иимэрхүү	II M EH R H UUs <SPACE>
иишэ	II SH EH <SPACE>
иишээ	II SH EE <SPACE>
илагшадай	I L EH K SH EH D EE <SPACE>
илажа	I L EH ZH EH <SPACE>
илангаяа	I L EH NG G A J AA <SPACE>
импери	I M PJ E RJ I <SPACE>
империин	I M PJ E RJ II NG <SPACE>
инаг	I N EH K <SPACE>
инагуудай	I N EH Gr UUh D EE <SPACE>
индостанай	I N D EH S T A N EE <SPACE>
индус	I N D Uh S <SPACE>
индустриальна	I N D Uh S T RJ I A LJ N EH <SPACE>
инженербиотехнологой	I N ZH EH NJ E R BJ I O TJ E H N O L EH G EE <SPACE>
иннокентьевич	I N N O KJ E N TJ J E VJ I CH <SPACE>
иннокентьевна	I N N O KJ E N TJ J E V N A <SPACE>
институдай	I N S TJ I T Uh D EE <SPACE>
институдта	I N S TJ I T Uh T T EH <SPACE>
институт	I NJ S T TJ I T Uh T <SPACE>
интернадта	I N T E R N A T T EH <SPACE>
интернедтэ	I N T E R N EH T T EH <SPACE>
интернет	I N T E R N EH T <SPACE>
информ	I N F O R M <SPACE>
ирина	I RJ I N EH <SPACE>
исимбаев	I SJ I M B A J E F <SPACE>
искусство	I S K Uh S S T V EH <SPACE>
искусствын	I S K Uh S S T V Y NG <SPACE>
июниин	I J Uh NJ II NG <SPACE>
июниинь	I J Uh NJ II NJ <SPACE>
кабул	K A V Uh L <SPACE>
камбоджа	K A M B O D ZH EH <SPACE>
канадын	K A N A D Y NG <SPACE>
каникулы	K A NJ I K Uh L Y <SPACE>
катя	K A TJ A <SPACE>
кексэ	KJ E K S EH <SPACE>
килограмм	KJ I L O G R A M <SPACE>
кино	KJ I N O <SPACE>
киногоо	KJ I N O Gr OOh <SPACE>
кинодо	KJ I N O D EH <SPACE>
киномеханигаар	KJ I N O MJ E H A NJ I Gr AA R <SPACE>
кинорежиссёр	KJ I N O RJ E ZH Y S SJ OOh R <SPACE>
киностудинь	KJ I N O S T Uh DJ I NJ <SPACE>
кинофестиваль	KJ I N O FJ E S TJ I V A LJ <SPACE>
кинофильм	KJ I N O FJ I LJ M <SPACE>
кинофильмнүүд	KJ I N O FJ I LJ M N UUs T <SPACE>
кинофильмнүүдтэ	KJ I N O FJ I LJ M N UUs T T EH <SPACE>
кинофильмын	KJ I N O FJ I LJ M Y NG <SPACE>
кихот	KJ I H O T <SPACE>
класс	K L A S S <SPACE>
классай	K L A S S EE <SPACE>
классайнь	K L A S S EE NJ <SPACE>
классигуудай	K L A S SJ I Gr UUh D EE <SPACE>
классигуудые	K L A S SJ I Gr UUh D Y J EH <SPACE>
класста	K L A S S T EH <SPACE>
классуудта	K L A S S UUh T T EH <SPACE>
клуб	K L Uh P <SPACE>
клубые	K L Uh B Y J EH <SPACE>
км	K M <SPACE>
код	K O T <SPACE>
коллективтэй	K O L LJ E K TJ I F T EE <SPACE>
колхоз	K O L H O S <SPACE>
колхоздоо	K O L H O Z D OOh <SPACE>
колхозой	K O L H O Z EE <SPACE>
команда	K O M A N D EH <SPACE>
командын	K O M A N D Y NG <SPACE>
комиссиин	K O MJ I S SJ I NG <SPACE>
компьютер	K O M PJ J Uh TJ E R <SPACE>
компьютерна	K O M PJ J Uh TJ E R N EH <SPACE>
комсоргоор	K O M S EH R Gr OOh R <SPACE>
кондратьев	K O N D R A TJ J E F <SPACE>
кондратьевай	K O N D R A TJ J E V EE <SPACE>
концерт	K O N C E R T <SPACE>
концертын	K O N C E R T Y NG <SPACE>
корреспондент	K O R RJ E S P O N DJ E N T <SPACE>
космонавт	K O S M O N A F T <SPACE>
кофе	K O FJ EH <SPACE>
кофеһоо	K O FJ EH HH OOh <SPACE>
ксения	K SJ E NJ I J A <SPACE>
ксилитоол	K SJ I LJ I T O L <SPACE>
культпросвет	K Uh LJ T P R O S VJ E T <SPACE>
куполдо	K Uh P EH L D EH <SPACE>
курсда	K Uh R S D EH <SPACE>
курсые	K Uh R S Y J EH <SPACE>
лавренюк	L A V RJ E NJ Uh K <SPACE>
лагерь	L A GJ E RJ <SPACE>
лалын	L A L Y NG <SPACE>
лама	L A M EH <SPACE>
лангхау	L A N H A Uh <SPACE>
ланка	L A N K EH <SPACE>
лаос	L A O S <SPACE>
лариса	L A RJ I S A <SPACE>
лауреат	L A Uh RJ E A T <SPACE>
лебединое	LJ E BJ E DJ I N O J E <SPACE>
лекци	LJ E K C Y <SPACE>
ленинград	LJ E NJ I NG G R A T <SPACE>
ленточнэ	LJ E N T EH CH N EH <SPACE>
ленэ	LJ E N EH <SPACE>
литература	LJ I TJ E R A T Uh R EH <SPACE>
литератураар	LJ I TJ E R A T Uh R AA R <SPACE>
литературын	LJ I TJ E R A T Uh R Y NG <SPACE>
литр	LJ I T R <SPACE>
литрэй	LJ I T R EE <SPACE>
лицейинтернадай	LJ I C EE I N T E R N A D EE <SPACE>
лицейинтернадта	LJ I C EE I N T E R N A D T EH <SPACE>
лицейинтернадһаа	LJ I C EE I N T E R N A D HH AA <SPACE>
лопсон	L O P S EH NG <SPACE>
лочиновна	L O CH I N O V N A <SPACE>
лучший	L Uh CH SH Y J <SPACE>
лыгденов	L Y G DJ E N O F <SPACE>
лыгденовтэ	L Y G DJ E N O V T EE <SPACE>
лыгденовтэнэй	L Y G DJ E N O F T EH N EE <SPACE>
лыгденовэй	L Y G DJ E N O V EE <SPACE>
лэ	L EH <SPACE>
любви	LJ Uh B VJ I <SPACE>
маанадта	M AA N EH T T EH <SPACE>
маанараар	M AA N EH R AA R <SPACE>
маанарта	M AA N EH R T EH <SPACE>
маанарые	M AA N EH R Y J EH <SPACE>
маатти	M AA T TJ I <SPACE>
мааттида	M AA T TJ I D EH <SPACE>
магад	M A Gr EH D <SPACE>
магазин	M A Gr A ZJ I NG <SPACE>
магдан	M A G D EH NG <SPACE>
магданай	M A G D EH N EE <SPACE>
магна	M A NG EH <SPACE>
магтаа	M A K T AA <SPACE>
магтан	M A K T EH NG <SPACE>
магтанам	M A K T EH M EH M <SPACE>
майин	M EE J NG <SPACE>
майя	M A J A <SPACE>
мал	M A L <SPACE>
малаа	M A L AA <SPACE>
малай	M A L EE <SPACE>
малтай	M A L T EE <SPACE>
малша	M A L SH EH <SPACE>
малыеголы	M A L Y J EH G O L Y <SPACE>
манаа	M A N AA <SPACE>
манай	M A N EE <SPACE>
манайшье	M A N EE SH J EH <SPACE>
мандухаев	M A N D Uh H A J EH F <SPACE>
мария	M A RJ J A <SPACE>
мартаа	M A R T AA <SPACE>
мартаагүй	M A R T AA Gr UIs <SPACE>
мартаад	M A R T AA T <SPACE>
мартагдашагүй	M A R T EH G D EH SH EH Gr UIs <SPACE>
мартадаггүй	M A R T EH D EH G Gr UIs <SPACE>
мархаева	M A R H A J EH V A <SPACE>
мастер	M A S TJ E R <SPACE>
мастернуудые	M A S TJ E R N UUh D Y J EH <SPACE>
математика	M A TJ E M A TJ I K A <SPACE>
матикайнэн	M A TJ I K EE N E NG <SPACE>
матти	M A T TJ I <SPACE>
маттиин	M A T TJ I NG <SPACE>
маттинай	M A T TJ I N EE <SPACE>
махмуд	M A H M Uh T <SPACE>
машина	M A SH Y N EH <SPACE>
машинаар	M A SH Y N AA R <SPACE>
машинын	M A SH Y N Y NG <SPACE>
маяг	M A J A K <SPACE>
метр	MJ E T R <SPACE>
механизатораар	MJ E H A NJ I Z A T O R AA R <SPACE>
миин	MJ II NG <SPACE>
минжур	MJ N ZH UUh R <SPACE>
мини	MJ I NJ I <SPACE>
минии	MJ I NJ II <SPACE>
министерствын	MJ I NJ I S TJ E R S T V Y NG <SPACE>
минутын	MJ I N UUh T Y NG <SPACE>
миссия	MJ I S SJ I A <SPACE>
митрошкинатай	M I T R O SH KJ I N EH T EE <SPACE>
митупов	MJ I T Uh P O F <SPACE>
михеевич	MJ I HJ E J E VJ I CH <SPACE>
михей	MJ E HJ E J <SPACE>
михуулай	MJ I H UUh L EE <SPACE>
мишра	MJ I SH H EH <SPACE>
мм	M M <SPACE>
могол	M O Gr EH L <SPACE>
моголнуудай	M O Gr EH L N UUh D EE <SPACE>
могоолнуудай	M O Gr OOh L N UUh D EE <SPACE>
модо	M O D EH <SPACE>
модон	M O D EH NG <SPACE>
модоной	M O D EH N EE <SPACE>
мойһоор	M OE HH OOh R <SPACE>
мон	M O NG <SPACE>
монгол	M O NG Gr EH L <SPACE>
монголбуряадуудай	M O NG G EH L B Uh RJ AA D UUh D EE <SPACE>
монголой	M O NG G EH L EE <SPACE>
монголоо	M O NG G EH L OOh <SPACE>
монголшуудай	M O NG G EH L SH UUh D EE <SPACE>
монголһоо	M O NG G EH L HH OOh <SPACE>
мордоо	M O R D OOh <SPACE>
мордохом	M O R D EH H EH M <SPACE>
морин	M O RJ I NG <SPACE>
мориндо	M O RJ I N D EH <SPACE>
мориной	M O RJ I N EE <SPACE>
моринуудараа	M Uh RJ I N UUh D EH R AA <SPACE>
морихиро	M O RJ I HJ I R EH <SPACE>
морожено	M O R O ZH EH N EH <SPACE>
москва	M O S K V A <SPACE>
москвагай	M O S K V A Gr EE <SPACE>
москвадашье	M O S K V A D EH SH J EH <SPACE>
музей	M Uh ZJ EE <SPACE>
мундаргата	M Uh N D EH R Gr EH D EH <SPACE>
мундаргын	M Uh N D EH R Gr Y NG <SPACE>
мургаб	M Uh R Gr EH P <SPACE>
мусульман	M Uh S Uh LJ M A NG <SPACE>
муу	M UUh <SPACE>
муутай	M UUh T EE <SPACE>
муухайда	M UUh H EE D EH <SPACE>
мухаршэбэрэй	M Uh H EH R SH EH V EH R EE <SPACE>
мы	M Y <SPACE>
мэгдэншьегүй	M E G D EH N SH J EH Gr UIs <SPACE>
мэдэгдэжэ	M E D EH G D EH ZH EH <SPACE>
мэдэгма	M E D EH G M AA <SPACE>
мэдэдэг	M E D EH D EH K <SPACE>
мэдэдэггүй	M E D EH D EH G Gr UIs <SPACE>
мэдэжэ	M E D EH ZH EH <SPACE>
мэдэлдэ	M E D EH L D EH <SPACE>
мэдэн	M E D EH NG <SPACE>
мэдэнгүй	M E D EH NG G UIs <SPACE>
мэдэнэгүй	M E D EH N EH Gr UIs <SPACE>
мэдэрдэг	M E D EH R D EH K <SPACE>
мэдэржэ M E D EH R ZH EH <SPACE>
мэдэрнэ	M E D EH R N EH <SPACE>
мэдэрнэбди	M E D EH R N EH B DJ I <SPACE>
мэдэрэл	M E D EH R EH L <SPACE>
мэдэрэлээр	M E D EH R EH L EE R <SPACE>
мэдэсэеэ	M E D EH S EH J EE <SPACE>
мэдэхэ	M E D EH H EH <SPACE>
мэдэхэбибди	M E D EH H EH VJ I B DJ I <SPACE>
мэдэхэгүй	M E D EH H EH Gr UIs <SPACE>
мэдээд	M E D EE T <SPACE>
мэдээжэ	M E D EE ZH EH <SPACE>
мэдээсэл	M E D EE S EH L <SPACE>
мэдээсэлдэ	M E D EE S EH L D EH <SPACE>
мэдээсэлэй	M E D EE S EH L EE <SPACE>
мэдүүлбэ	M E D UUs L V EH <SPACE>
мэдүүлэл	M E D UUs L EH L <SPACE>
мэлс	M E L S <SPACE>
мэргэдэй	M E R Gr EH D EE <SPACE>
мэргэжэл	M E R Gr EH ZH EH L <SPACE>
мэргэжэлтэ	M E R Gr EH ZH EH L T EH <SPACE>
мэргэжэлтэд	M E R Gr EH ZH EH T T EH T <SPACE>
мэргэжэлтэй	M E R Gr EH ZH EH L T EE <SPACE>
мэргэжэлые	M E R Gr EH ZH EH L Y J EH <SPACE>
мэргэжэлэй	M E R Gr EH ZH EH L EE <SPACE>
мэргэжэлээрээ	M E R Gr EH ZH EH L EE R EE <SPACE>
мэргэн	M E R Gr EH NG <SPACE>
мэтэ	M E T EH <SPACE>
мэтэр	M E T EH R <SPACE>
мэтээр	M E T EE R <SPACE>
мэхэлэгдээд	M E H EH L EH G D EE T <SPACE>
мэхэлээгүй	M E H EH L EE Gr UIs <SPACE>
мэү	M E <SPACE>
мянга	MJ A NG G EH <SPACE>
мянгаад	MJ A NG G AA T <SPACE>
мянган	MJ A NG G EH NG <SPACE>
мяха	MJ A H EH <SPACE>
мүлижэ	M Us LJ I ZH EH <SPACE>
мүлиһэн	M Us LJ I HH EH NG <SPACE>
мүн	M Us NG <SPACE>
мүнгэ	M Us NG G EH <SPACE>
мүнгэн	M Us NG G EH NG <SPACE>
мүндэлһэн	M Us N D EH L HH EH NG <SPACE>
мүндэлөөд	M Us N D EH L OOs T <SPACE>
мүнхэ	M Us N H EH <SPACE>
мүнхэрөө	M Us N H EH R OOs <SPACE>
мүнэһэн	M Us N EH HH EH NG <SPACE>
мүнөө	M Us N OOs <SPACE>
мүнөөдэр	M Us N OOs D EH R <SPACE>
мүнөөдэрэй	M Us N OOs D EH R EE <SPACE>
мүнөөшье	M Us N OOs SH J EH <SPACE>
мүр	M Us R <SPACE>
мүргэдэг	M Us R Gr EH D EH K <SPACE>
мүргэл	M Us R Gr EH L <SPACE>
мүргэхэ	M Us R Gr EH H EH <SPACE>
мүрнүүд	M Us R N UUs T <SPACE>
мүрнүүдээрээ	M Us R N UUs D EE R EE <SPACE>
мүрнүүдһээ	M Us R N UUs D HH EE <SPACE>
мүртэй	M Us R T EE <SPACE>
мүрысэжэ	M Us R Y S EH ZH EH <SPACE>
мүрысөөн	M Us R Y S OOs NG <SPACE>
мүрэн	M Us R EH NG <SPACE>
мүрэнэй	M Us R EH N EE <SPACE>
мүрэнүүд	M Us R EH N UUs T <SPACE>
мүрөө	M Us R OOs <SPACE>
мүшэдэй	M Us SH EH D EE <SPACE>
мүүнөөдэр	M UUs N OOs D EH R <SPACE>
мүүрнүүд	M UUs R N UUs T <SPACE>
мүүрнүүдэй	M UUs R N UUs D EE <SPACE>
наада	N AA D EH <SPACE>
наадаар	N AA D AA R <SPACE>
наадан	N AA D EH NG <SPACE>
нааданай	N AA D EH N EE <SPACE>
нааданда	N AA D EH N D EH <SPACE>
наадаяа	N AA D EH J AA <SPACE>
наашаа	N AA SH AA <SPACE>
нагаса	N A Gr EH S EH <SPACE>
надежда	N A DJ E ZH D EH <SPACE>
нажарынь	N A ZH EH R Y NJ <SPACE>
найгалзаад	N EE Gr EH L Z AA T <SPACE>
найдал	N EE D EH L <SPACE>
найдамтай	N EE D EH M T EE <SPACE>
найман	N EE M EH NG <SPACE>
найрай	N EE R EE <SPACE>
найрлаа	N EE R L AA <SPACE>
найруулагша	N EE R UUh L EH G SH EH <SPACE>
найруулагшаар	N EE R UUh L EH G SH AA R <SPACE>
найруулагшын	N EE R UUh L EH G SH Y NG <SPACE>
найруулан	N EE R UUh L EH NG <SPACE>
намааршье	N A M AA R SH J EH <SPACE>
намайе	N A M EE J EH <SPACE>
намарай	N A M EH R EE <SPACE>
намда	N A M D EH <SPACE>
намжаа	N A M ZH AA <SPACE>
намжилма	N A M ZH Y L M A <SPACE>
намтарта	N A M T EH R T EH <SPACE>
намтаяа	N A M T A J AA <SPACE>
нангин	N A NG GJ I NG <SPACE>
нангинаар	N A NG GJ I N AA R <SPACE>
нанхяад	N A NG HJ AA T <SPACE>
нарай	N A R EE <SPACE>
наран	N A R EH NG <SPACE>
наранай	N A R EH N EE <SPACE>
нарин	N A RJ I NG <SPACE>
наринаар	N A RJ I N AA R <SPACE>
национальна	N A C Y O N A LJ N EH <SPACE>
наһа	N A HH EH <SPACE>
наһаараа	N A HH AA R AA <SPACE>
наһажаал	N A HH EH ZH AA L <SPACE>
наһан	N A HH EH NG <SPACE>
наһанай	N A HH EH N EE <SPACE>
наһанайм	N A HH EH N EE M <SPACE>
наһанайнгаа	N A HH EH N EE NG G AA <SPACE>
наһандаа	N A HH EH N D AA <SPACE>
наһандань	N A HH EH N D EH NJ <SPACE>
наһанһаа	N A HH EH N HH AA <SPACE>
наһанһаань	N A HH EH N HH AA NJ <SPACE>
наһатай	N A HH EH T EE <SPACE>
невыполнима	NJ E V Y P O L NJ I M EH <SPACE>
неделидэ	NJ E DJ E LJ I D EH <SPACE>
нива	NJ I V A <SPACE>
ниислэл	NJ II S L EH L <SPACE>
ниитын	NJ II T Y NG <SPACE>
ниитэ	NJ II T EH <SPACE>
николаевич	NJ I K O L A J E VJ I CH <SPACE>
нилээд	NJ I L EE T <SPACE>
нилээн	NJ I L EE NG <SPACE>
ногоон	N O Gr OOh NG <SPACE>
нойтон	N OE T EH NG <SPACE>
нойтотой	N OE T EH T EE <SPACE>
ном	N O M <SPACE>
номгон	N O M Gr EH NG <SPACE>
номдо	N O M D EH <SPACE>
номинацида	N O MJ I N A C Y D EH <SPACE>
номой	N O M EE <SPACE>
номууд	N O M UUh T <SPACE>
номуудай	N O M UUh D EE <SPACE>
номуудта	N O M UUh T T EH <SPACE>
номыень	N O M Y J EH NJ <SPACE>
нооһо	N OOh HH EH <SPACE>
норбоева	N O R B O J EH V A <SPACE>
нохой	N O H EE <SPACE>
ночь	N O CH <SPACE>
ноябрь	N O J A B RJ <SPACE>
ноёдто	N O J O D T EH <SPACE>
ноёхоной	N O J O H EH N EE <SPACE>
нугануудаар	N Uh Gr A N UUh D AA R <SPACE>
нуганууднай	N Uh Gr EH N UUh D EE <SPACE>
нугархай	N Uh Gr EH R H EE <SPACE>
нугархайгаар	N Uh Gr EH R H EE Gr AA R <SPACE>
нугархайень	N Uh Gr EH R H EH J EH NJ <SPACE>
нуур	N UUh R <SPACE>
нэбтэрүүлэгдэжэ	N E P T EH R UUs L EH G D EH ZH EH <SPACE>
нэбтэрүүлэгдэн	N E P T EH R UUs L EH G D EH NG <SPACE>
нэгые	N E Gr Y J EH <SPACE>
нэгэ	N E Gr EH <SPACE>
нэгэдэн	N E Gr EH D EH NG <SPACE>
нэгэдэхи	N E Gr EH D EH HJ I <SPACE>
