ааб	AA P
монголбуряадуудай	M O NG G EH L B Uh RJ AA D UUh D EE
монголой	M O NG G EH L EE
монголоо	M O NG G EH L OOh
монголшуудай	M O NG G EH L SH UUh D EE
монголһоо	M O NG G EH L HH OOh
мордоо	M O R D OOh
мордохом	M O R D EH H EH M
морин	M O RJ I NG
мориндо	M O RJ I N D EH
мориной	M O RJ I N EE
моринуудараа	M Uh RJ I N UUh D EH R AA
морихиро	M O RJ I HJ I R EH
морожено	M O R O ZH EH N EH
москва	M O S K V A
москвагай	M O S K V A Gr EE
москвадашье	M O S K V A D EH SH J EH
музей	M Uh ZJ EE
мундаргата	M Uh N D EH R Gr EH D EH
мундаргын	M Uh N D EH R Gr Y NG
мургаб	M Uh R Gr EH P
мусульман	M Uh S Uh LJ M A NG
муу	M UUh
муутай	M UUh T EE
муухайда	M UUh H EE D EH
мухаршэбэрэй	M Uh H EH R SH EH V EH R EE
мы	M Y
мэгдэншьегүй	M E G D EH N SH J EH Gr UIs
мэдэгдэжэ	M E D EH G D EH ZH EH
мэдэгма	M E D EH G M AA
мэдэдэг	M E D EH D EH K
мэдэдэггүй	M E D EH D EH G Gr UIs
мэдэжэ	M E D EH ZH EH
мэдэлдэ	M E D EH L D EH
мэдэн	M E D EH NG
мэдэнгүй	M E D EH NG G UIs
мэдэнэгүй	M E D EH N EH Gr UIs
мэдэрдэг	M E D EH R D EH K
мэдэржэ M E D EH R ZH EH
мэдэрнэ	M E D EH R N EH
мэдэрнэбди	M E D EH R N EH B DJ I
мэдэрэл	M E D EH R EH L
мэдэрэлээр	M E D EH R EH L EE R
мэдэсэеэ	M E D EH S EH J EE
мэдэхэ	M E D EH H EH
мэдэхэбибди	M E D EH H EH VJ I B DJ I
мэдэхэгүй	M E D EH H EH Gr UIs
мэдээд	M E D EE T
мэдээжэ	M E D EE ZH EH
мэдээсэл	M E D EE S EH L
мэдээсэлдэ	M E D EE S EH L D EH
мэдээсэлэй	M E D EE S EH L EE
мэдүүлбэ	M E D UUs L V EH
мэдүүлэл	M E D UUs L EH L
мэлс	M E L S
мэргэдэй	M E R Gr EH D EE
мэргэжэл	M E R Gr EH ZH EH L
мэргэжэлтэ	M E R Gr EH ZH EH L T EH
мэргэжэлтэд	M E R Gr EH ZH EH T T EH T
мэргэжэлтэй	M E R Gr EH ZH EH L T EE
мэргэжэлые	M E R Gr EH ZH EH L Y J EH
мэргэжэлэй	M E R Gr EH ZH EH L EE
мэргэжэлээрээ	M E R Gr EH ZH EH L EE R EE
мэргэн	M E R Gr EH NG
мэтэ	M E T EH
мэтэр	M E T EH R
мэтээр	M E T EE R
мэхэлэгдээд	M E H EH L EH G D EE T
мэхэлээгүй	M E H EH L EE Gr UIs
мэү	M E
мянга	MJ A NG G EH
мянгаад	MJ A NG G AA T
мянган	MJ A NG G EH NG
мяха	MJ A H EH
мүлижэ	M Us LJ I ZH EH
мүлиһэн	M Us LJ I HH EH NG
мүн	M Us NG
мүнгэ	M Us NG G EH
мүнгэн	M Us NG G EH NG
мүндэлһэн	M Us N D EH L HH EH NG
мүндэлөөд	M Us N D EH L OOs T
мүнхэ	M Us N H EH
мүнхэрөө	M Us N H EH R OOs
мүнэһэн	M Us N EH HH EH NG
мүнөө	M Us N OOs
мүнөөдэр	M Us N OOs D EH R
мүнөөдэрэй	M Us N OOs D EH R EE
мүнөөшье	M Us N OOs SH J EH
мүр	M Us R
мүргэдэг	M Us R Gr EH D EH K
мүргэл	M Us R Gr EH L
мүргэхэ	M Us R Gr EH H EH
мүрнүүд	M Us R N UUs T
мүрнүүдээрээ	M Us R N UUs D EE R EE
мүрнүүдһээ	M Us R N UUs D HH EE
мүртэй	M Us R T EE
мүрысэжэ	M Us R Y S EH ZH EH
мүрысөөн	M Us R Y S OOs NG
мүрэн	M Us R EH NG
мүрэнэй	M Us R EH N EE
мүрэнүүд	M Us R EH N UUs T
мүрөө	M Us R OOs
мүшэдэй	M Us SH EH D EE
мүүнөөдэр	M UUs N OOs D EH R
мүүрнүүд	M UUs R N UUs T
мүүрнүүдэй	M UUs R N UUs D EE
наада	N AA D EH
наадаар	N AA D AA R
наадан	N AA D EH NG
нааданай	N AA D EH N EE
нааданда	N AA D EH N D EH
наадаяа	N AA D EH J AA
наашаа	N AA SH AA
нагаса	N A Gr EH S EH
надежда	N A DJ E ZH D EH
нажарынь	N A ZH EH R Y NJ
найгалзаад	N EE Gr EH L Z AA T
найдал	N EE D EH L
найдамтай	N EE D EH M T EE
найман	N EE M EH NG
найрай	N EE R EE
найрлаа	N EE R L AA
найруулагша	N EE R UUh L EH G SH EH
найруулагшаар	N EE R UUh L EH G SH AA R
найруулагшын	N EE R UUh L EH G SH Y NG
найруулан	N EE R UUh L EH NG
намааршье	N A M AA R SH J EH
намайе	N A M EE J EH
намарай	N A M EH R EE
намда	N A M D EH
намжаа	N A M ZH AA
намжилма	N A M ZH Y L M A
намтарта	N A M T EH R T EH
намтаяа	N A M T A J AA
нангин	N A NG GJ I NG
нангинаар	N A NG GJ I N AA R
нанхяад	N A NG HJ AA T
нарай	N A R EE
наран	N A R EH NG
наранай	N A R EH N EE
нарин	N A RJ I NG
наринаар	N A RJ I N AA R
национальна	N A C Y O N A LJ N EH
наһа	N A HH EH
наһаараа	N A HH AA R AA
наһажаал	N A HH EH ZH AA L
наһан	N A HH EH NG
наһанай	N A HH EH N EE
наһанайм	N A HH EH N EE M
наһанайнгаа	N A HH EH N EE NG G AA
наһандаа	N A HH EH N D AA
наһандань	N A HH EH N D EH NJ
наһанһаа	N A HH EH N HH AA
наһанһаань	N A HH EH N HH AA NJ
наһатай	N A HH EH T EE
невыполнима	NJ E V Y P O L NJ I M EH
неделидэ	NJ E DJ E LJ I D EH
нива	NJ I V A
ниислэл	NJ II S L EH L
ниитын	NJ II T Y NG
ниитэ	NJ II T EH
николаевич	NJ I K O L A J E VJ I CH
нилээд	NJ I L EE T
нилээн	NJ I L EE NG
ногоон	N O Gr OOh NG
нойтон	N OE T EH NG
нойтотой	N OE T EH T EE
ном	N O M
номгон	N O M Gr EH NG
номдо	N O M D EH
номинацида	N O MJ I N A C Y D EH
номой	N O M EE
номууд	N O M UUh T
номуудай	N O M UUh D EE
номуудта	N O M UUh T T EH
номыень	N O M Y J EH NJ
нооһо	N OOh HH EH
норбоева	N O R B O J EH V A
нохой	N O H EE
ночь	N O CH
ноябрь	N O J A B RJ
ноёдто	N O J O D T EH
ноёхоной	N O J O H EH N EE
нугануудаар	N Uh Gr A N UUh D AA R
нуганууднай	N Uh Gr EH N UUh D EE
нугархай	N Uh Gr EH R H EE
нугархайгаар	N Uh Gr EH R H EE Gr AA R
нугархайень	N Uh Gr EH R H EH J EH NJ
нуур	N UUh R
нэбтэрүүлэгдэжэ	N E P T EH R UUs L EH G D EH ZH EH
нэбтэрүүлэгдэн	N E P T EH R UUs L EH G D EH NG
нэгые	N E Gr Y J EH
нэгэ	N E Gr EH
нэгэдэн	N E Gr EH D EH NG
нэгэдэхи	N E Gr EH D EH HJ I
нэгэдүүлхэ	N E Gr EH D UUs L H EH
нэгэдүүлэгдэһэн	N E Gr EH D UUs L EH G D EH HH EH NG
нэгэл	N E Gr EH L
нэгэмнай	N E Gr EH M N EE
нэгэн	N E Gr EH NG
нэгэнби N E Gr EH NG BJ I
нэгэндэ	N E Gr EH N D EH
нэгэниинь	N E Gr EH NJ II NJ
нэгэтэ	N E Gr EH T EH
нэгэшье	N E Gr EH SH J EH
нэмэжэ	N E M EH ZH EH
нэн	N E NG
нэрлээд	N E R L EE T
нэрлүүлжэ	N E R L UUs L ZH EH
нэрые	N E R Y J EH
нэрэ	N E R EH
нэрэеэ	N E R EH J EE
нэрэмжэтэ	N E R EH M ZH EH T EH
нэрэнэ	N E R EH N EH
нэрэтэй	N E R EH T EE
нэрэхэ	N E R EH H EH
нэрээ	N E R EE
нэха	N E H EH
нээгдээ	N EE G D EE
нээжэ	N EE ZH EH
нээрээшье	N EE R EE SH J EH
нээхэ	N EE H EH
нээхэдэ	N EE H EH D EH
нээхэдэнь	N EE H EH D EH NJ
нээһэн	N EE HH EH NG
нюдэндэ	NJ Uh D EH N D EH
нюдэниинь	NJ Uh D EH NJ II NJ
нюдэнсоошни	NJ Uh D EH N S OOh SH NJ I
нюрган	NJ Uh R Gr EH NG
нютаг	NJ Uh T EH K
нютагаа	NJ Uh T EH Gr AA
нютагаархидынь	NJ Uh T EH Gr AA R HJ I D Y NJ
нютагай	NJ Uh T EH Gr EE
нютагайнгаа	NJ Uh T EH Gr EE NG G AA
нютагайнь	NJ Uh T EH Gr EE NJ
нютагайхид	NJ Uh T EH Gr EE HJ I T
нютагайхидайнгаа	NJ Uh T EH Gr EE HJ I D EE NG G AA
нютагни	NJ Uh T EH G NJ I
нютагта	NJ Uh T EH K T EH
нютагтаа	NJ Uh T EH K T AA
нютагтай	NJ Uh T EH K T EE
нютагтамнай	NJ Uh T EH K T EH M N EE
нютагтань	NJ Uh T EH K T EH NJ
нютагууд	NJ Uh T EH Gr UUh T
нютагуудаар	NJ Uh T EH Gr UUh D AA R
нютагые	NJ Uh T EH Gr Y J EH
нютагһаа	NJ Uh T EH G HH AA
нюурта	NJ UUh R T EH
нюусануудаар	NJ Uh S EH N UUh D AA R
нягта	NJ A K T EH
нёдондо	NJ O D EH N D EH
нүгөө	N Us Gr OOs
нүлөө	N Us L OOs
нүлөөлэлгдэнэ	N Us L OOs L E L G D EH N EH
нүлөөлһэн	N Us L OOs L HH EH NG
нүхэд	N Us H EH T
нүхэдни	N Us H EH D NJ I
нүхэдынь	N Us H EH D Y NJ
нүхэр	N Us H EH R
нүхэртэ	N Us H EH R T EH
нүхэртэеэ	N Us H EH R T EH J EE
нүхэртэй	N Us H EH R T EE
нүхэрэй	N Us H EH R EE
нүхэрэйнгөө	N Us H EH R EE NG G OOs
нүхэсэлэй	N Us H EH S EH L EE
нүүдэлшэ	N UUs D EH L SH EH
нүүдэлшэдэй	N UUs D EH L SH EH D EE
обитаемый	O BJ I T A J E M Y J
обогууд	O V EH Gr UUh T
обоодоо	O V OOh D OOh
обёоржо	O VJ OOh R ZH EH
огто	O K T EH
одна	O D N EH
одо	O D EH
одоевич	O D O J E VJ I CH
одоо	O D OOh
одоол	O D OOh L
одхон	O T H EH NG
озеро	O ZJ EH R O
ой	OE
ойлгодогби	OE L Gr EH D EH G BJ I
ойлгое	OE L Gr EH J EH
ойлгожо	OE L Gr EH ZH EH
ойлгон	OE L Gr EH NG
ойлгоогүй	OE L Gr OOh Gr UIs
ойлгоходоо	OE L Gr EH H EH D OOh
ойлгуулжа	OE L Gr UUh L ZH EH
ойн	OE NG
ойрод	OE R EH T
окладников	O K L A D NJ I K O F
олдоно	O L D EH N EH
олдоногүй	O L D EH N EH Gr UIs
олдоогүй	O L D OOh Gr UIs
олдохо	O L D EH H EH
олзо	O L Z EH
олзын	O L Z Y NG
олимпиада	O LJ I M PJ I A D A
олимпиадада	O LJ I M PJ I A D EH D EH
олимпиаданууд	O LJ I M PJ I A D A D EH N UUh T
оло	O L EH
олодоггүйб  O L EH D EH G G UIs P
олой	O L EE
ололсожо	O L EH L S EH ZH EH
олон	O L EH NG
олонгоо	O L EH NG G OOh
олонгүй	O L EH NG G UIs
олондо	O L EH N D EH
олониие	O L EH NJ II J EH
олониитын	O L EH NJ II T Y NG
олонхи	O L EH N H I
олонхимнай	O L EH N HJ I M N EE
олоод	O L OOh T
олоор	O L OOh R
олоороо	O L OOh R OOh
олошорхо	O L EH SH EH R H EH
олоһоор	O L EH HH OOh R
ольга	O LJ G EH
ольтирогуудаар	O LJ TJ I R O Gr UUh D AA R
омар	O M EH R
омогорхол	O M EH Gr EH R H EH L
омогорхохоор    O M EH Gr EH R H EH H OOh R
он	O NG
ондо	O N D EH
ондоо	O N D OOh
оной	O N EE
онол	O N EH L
ономастика	O N EH M A S TJ I K A
онсо	O N S EH
онтохон	O N T EH H EH NG
онууд	O N UUh T
онуудта	O N UUh T T EH
онһоо	O N HH OOh
оперо	O PJ EH R EH
ордон	O R D EH NG
ордонтой	O R D EH N T EE
ореолто	O RJ O L T EH
ореолтонуудай	O RJ OOh L T EH N UUh D EE
ори	O RJ I
орилхыень	O RJ I L H Y J EH NJ
оробо	O R O V EH
ород	O R EH T
орожо	O R O ZH EH
орой	O R EE
оройгдооб	O R EE G D OOh P
оройдоо	O R EE D OOh
оройдоол	O R EE D OOh L
оройе	O R EE J EH
оройнууд	O R EE N UUh T
оролдодог	O R EH L D EH D EH K
оролдодогби	O R EH L D EH D EH G BJ I
оролдожол	O R EH L D EH ZH EH L
оролдолго	O R EH L D EH L Gr EH
оролдолгоор	O R EH L D EH L Gr OOh R
оролдоо	O R EH L D OOh
оролсоно	O R EH L S EH N EH
орон	O R EH NG
орондо	O R EH N D EH
орондоо	O R EH N D OOh
ороной	O R EH N EE
ороноймнай	O R EH N EE M N EE
оронойнгоо	O R EH N OE NG G OOh
ороноор	O R EH N OOh R
оронхой	O R EH N H EE
ороо	O R OOh
орооб	O R OOh P
ороод	O R OOh T
орохо	O R O H EH
орохоб	O R O H EH P
орохобди	O R O H EH B DJ I
ороходоо	O R O H EH D OOh
орохыень	O R O H Y J EH NJ
ороһон	O R EH HH EH NG
ороһоор	O R EH HH OOh R
оруулагдана	O R UUh L EH G D EH N EH
оруулбал	O R UUh L V EH L
оруулдаг	O R UUh L D EH K
оруулжа	O R UUh L ZH EH
орхеоб	O R HJ OOh P
орхигдоһон	O R HJ I G D EH HH EH NG
оршодог	O R SH EH D EH K
оршом	O R SH EH M
оршоһон	O R SH EH HH EH NG
оршуулагша	O R SH UUh L EH G SH EH
орёо	O RJ OOh
орёохон	O RJ OOh H EH NG
остров	O S T R O F
отделенидэ	O T DJ EH LJ EH NJ I D EH
оулуһаань	O Uh L Uh HH AA NJ
охин	O HJ I NG
охрын	O R H Y NG
очно	O CH N EH
ошобобди	O SH EH V EH B DJ I
ошодог	O SH EH D EH K
ошодоггүй	O SH EH D EH G Gr UIs
ошожо	O SH EH ZH EH
ошолго	O SH EH L Gr EH
ошон	O SH EH NG
ошоноб	O SH EH N EH P
ошоо	O SH OOh
ошоогүй	O SH OOh Gr UIs
ошохо	O SH EH H EH
ошохоб	O SH EH H EH P
ошоходоо	O SH EH H EH D OOh
ошоходош	O SH EH H EH D EH SH
ошоһон	O SH EH HH EH NG
оюна	O J Uh N EH
оюун	O J UUh NG
оюутад	O J UUh T EH T
оюутан	O J UUh T EH NG
оёорто	O J OOh R T EH
павел	P A VJ EH L
пакистан	P A KJ I S T A NG
парти	P A R TJ I
пашту	P A SH T Uh
пеккин	P E KJ I NG
пеккинэй	PJ E KJ I N EE
пеккэ	PJ E K K E
пенсидэ	PJ E N SJ I D EH
печени	PJ E CH E NJ I
писаницы	PJ I S A NJ I C Y
питер	PJ I TJ E R
пластик	P L A S TJ I K
платитай	P L A TJ I T EE
поездруу	P O J E Z D R UUh
полис	P O LJ I S
полисоо	P O LJ I S OOh
полнометражный	P O L N EH MJ EH T R A ZH N Y J
португал	P O R T Uh Gr A L
почтальоноор	P O CH T A LJ O N OOh R
почтыень	P O CH T Y J EH NJ
поэдүүд	P O E D UUs T
поэзии	P O E ZJ II
поэзиин	P O E ZJ II NG
поэт	P O E T
правин	P R A VJ I NG
практикада	P R A K TJ I K EH D EH
премьерын	P RJ E MJ J EH R Y NG
премьерэ	P RJ E MJ J EH R EH
премьерээр	P RJ E MJ J EH R EE R
программа	P R O G R A M M EH
программаар	P R O G R A M M AA R
программада	P R O G R A M M EH D EH
программар	P R O G R A M M A R
продюсер	P R O DJ Uh SJ E R
проект	P R O J EH K T
проектнүүдые	P R O J EH K T N UUh D Y J EH
проектые	P R O J EH K T Y J EH
проектын	P R O J EH K T Y NG
протасоватай	P R O T A S O V A T EE
профессор	P R O FJ E S S EH R
путкинооткэ	P Uh T KJ I N OOh T K EH
путкинотко	P Uh T KJ I N O T K O
пушкин	P Uh SH KJ I NG
пүмпөөдэһөөнь	P Us M P OOs D EH HH OOs NJ
раднаев	R A D N A J EH F
раднаева	R A D N A J EH V A
раднажап	R A D N A ZH EH P
раиса	R A I S A
районогой	R A J OOh N EH Gr EE
ракшаева	R A K SH A J E V A
раскадровщигоор	R A S K A D R O F SCH I Gr OOh R
режима	RJ E ZH Y M EH
режиссёр	RJ E ZH Y S SJ OOh R
режиссёрнуудтай	RJ E ZH Y S SJ OOh R N UUh T T EE
режиссёрой	RJ E ZH Y S SJ OOh R EE
рекламна	RJ E K L A M N EH
репетиторнүүд	RJ E PJ E TJ I T O R N UUh T
республика	RJ E S P Uh B LJ I K EH
республикымнай	RJ E S P Uh B LJ I K Y M N EE
республикын	RJ E S P Uh B LJ I K Y NG
ринчинович	RJ I N CH I N O VJ I CH
ринчиновичэй	RJ I N CH I N O VJ I CH EE
ринчиногой	RJ I N CH I N O Gr EE
родионовна	R O DJ I O N O V N A
роза	R O Z EH
ролигуудые	R O LJ I Gr UUh D Y J EH
роман	R O M A NG
росси	R O S SJ I
россиин	R O S SJ II NG
руу	R UUh
саада	S AA D EH
саана	S AA N EH
саашаа	S AA SH AA
саашадаа	S AA SH EH D AA
саашань	S AA SH EH NJ
сабшалга	S A P SH EH L Gr EH
саг	S A K
сагаалганай	S A Gr AA L Gr EH N EE
сагаан	S A Gr AA NG
сагай	S A Gr EE
сагаймни	S A Gr EE M NJ I
сагдаанар	S A G D AA N EH R
сагни	S A G NJ I
сагта	S A G T EH
сагһаа	S A G HH AA
садхалан	S A D H EH L EH NG
сай	S EE
сайлуулжа	S EE L UUh L ZH EH
сайт	S EE T
сакья	S A KJ J AA
санагын	S A N EH Gr Y NG
санда	S A N D EH
санданов	S A N D A N O V
санжа	S A N ZH EH
санжиевна	S A N ZH Y J EH V N A
санжимитупов	S A N ZH Y MJ I T Uh P O F
сара	S A R EH
сараа	S A R AA
сарьдаг	S A RJ D EH K
сарюун	S A RJ UUh NG
сахаяхадай	S A H A J EH H EH D EE
сахижа	S A HJ I ZH EH
сахихаяа	S A HJ I H EH J AA
сая	S A J A
саяан	S A J AA NG
саяанайм	S A J AA N EE M
саян	S A J A NG
саһанай	S A HH EH N EE
светлана	S VJ E T L A N EH
секретаревич	SJ E K RJ E T A RJ E VJ I CH
секундын	SJ E K Uh N D Y NG
секцидэ	SJ E K C Y D EH
семеновой	SJ E MJ O N O V EE
сентябриин	SJ E N TJ A B RJ II NG
сибириин	SJ I BJ I RJ II NG
сибирь	SJ I BJ I RJ
сиддарта	SJ I D D A R T EH
сингапур	SJ I N G A P Uh R
сингх	SJ I N K H
смигэй	S MJ I Gr EE
совет	S O VJ E T
советскэ	S O VJ E T S K EH
совхозой	S O F H O Z EE
совхозуудай	S O F H O Z UUh D EE
согтохангил	S O K T EH H A N GJ I L
солбон	S O L V EH NG
солист	S O LJ I S T
солонгос	S O L EH NG G EH S
солотой	S O L EH T EE
сонгоол	S O NG G OOh L
сонимнай	S O NJ I M N EE
сониндо	S O NJ I N D EH
сониной	S O NJ I N EE
соностохо	S O N EH S T EH H EH
соносхолнууд	S O N EH S H EH L N UUh T
сонхоной	S O N H EH N EE
сонхонуудые	S O N H EH N UUh D Y J EH
сонхоор	S O N H OOh R
сонхын	S O N H Y NG
сонь	S O NJ
соо	S OOh
соогоо	S OOh Gr OOh
соогуур	S OOh Gr UUh R
соомнай	S OOh M N EE
соонь	S OOh NJ
соошоогоо	S OOh SH OOh Gr OOh
соошье	S OOh SH J EH
сооһоонь	S OOh HH OOh NJ
соробхилно	S O R EH F HJ I L N EH
сохи	S O HJ I
сохилго	S O HJ I L Gr EH
сохом	S O H EH M
сошоолгоо	S O SH OOh L Gr OOh
союзай	S O J Uh Z EE
соёл	S O J O L
соёлдо	S O J O L D EH
соёлма	S O J O L M A
соёлнуудай	S O J O L N UUh D EE
соёлой	S O J O L EE
соёлоор	S O J O L OOh R
соёлтой	S O J O L T EE
спорт	S P O R T
спортдо	S P O R T D EH
спортын	S P O R T Y NG
сссрэй	S S S R EE
степанович	S TJ E P A N O VJ I CH
строгого	S T R O Gr O Gr EH
студи	S T Uh DJ I
субарга	S Uh V EH R Gr EH
субаһан	S Uh V EH HH EH NG
суг	S Uh K
суглаанда	S Uh G L AA N D EH
суглуулагдамал	S Uh G L UUh L EH G D EH M EH L
суглуулагдана	S Uh G L UUh L EH G D EH N EH
суглуулагдаһан	S Uh G L UUh L EH G D EH HH EH NG
суглуулбари	S Uh G L UUh L V EH RJ I
суглуулдаг	S Uh G L UUh L D EH K
суглуулжа	S Uh G L UUh L ZH EH
сультимова	S Uh LJ TJ I M O V A
сурбалжалагша	S Uh R V EH L ZH EH L EH K SH EH
сурбалжалагшатай	S Uh R V EH L ZH EH L EH K SH EH T EE
суулга	S UUh L Gr EH
суулгада	S UUh L Gr EH D EH
суулгаһаа	S UUh L Gr EH HH AA
суулгын	S UUh L Gr Y NG
суурхадаг	S UUh R H EH D EH K
сууряан	S UUh RJ AA NG
суута	S UUh T EH
суутай	S UUh T EE
сухалдуулаа	S Uh H EH L D UUh L AA
сухарихагүй	S Uh H EH RJ I H EH Gr UIs
сшагай	S SH A Gr EE
сэбэр	S E V EH R
сэбэрлэлгэ	S E V EH R L EH L Gr EH
сэбэрлэлтэ	S E V EH R L EH L T EH
сэгнэдэг	S E G N EH D EH K
сэгнэлтэ	S E G N EH L T EH
сэгнэлтэдэ	S E G N EH L T EH D EH
сэгнэлтэнүүдые	S E G N EH L T EH N UUs D Y J EH
сэдьхэл	S E DJ H EH L
сэдьхэлдэ	S E TJ H EH L D EH
сэдьхэлдэм	S E TJ H EH L D EH M
сэдьхэлдээ	S E TJ H EH L D EE
сэдьхэлни	S E TJ H EH L NJ I
сэдьхэлтэй	S E TJ H EH L T EE
сэдьхэлшни	S E TJ H EH L SH NJ I
сэдьхэлэй	S E TJ H EH L EE
сэдьхэлэйнгээ	S E TJ H EH L EE NG G EE
сэдьхэлээ	S E TJ H EH L EE
сэдьхэлээрээ	S E TJ H EH L EE R EE
сэлэнгын	S E L EH NG G Y NG
сэнтэй	S E N T EE
сэнтэйб	S E N T EE P
сэрэгшэн	S E R EH K SH EH NG
сэрэгэй	S E R EH Gr EE
сэсэг	S E S EH G
сэсэгые	S E S EH Gr Y J EH
сэсэгэй	S E S EH Gr EE
сэсэгүүдэй	S E S EH Gr UUs D EE
сэсэн	S E S EH NG
сэсэрлиг	S E S EH R LJ I K
сэсэрлигтэ	S E S EH R LJ I K T EH
сэхыень	S E H Y J EH NJ
сэхынь	S E H Y NJ
сэхэ	S E H EH
сүлдэ	S Us L D EH
сүлэй	S Us L EE
сүлөө	S Us L OOs
сүлөөгүй	S Us L OOs Gr UIs
сүлөөтэйгөөр	S Us L OOs T EE Gr OOs R
сүм	S Us M
та	T A
таабайн	T AA V EE NG
таалаха	T AA L EH H EH
тааруу	T AA R UUh
тааруулжа	T AA R UUh L ZH EH
таба	T A V EH
табан	T A V EH NG
табанай	T A V EH N EE
табибагүй	T A VJ I V EH Gr UIs
табигдаа	T A VJ I G D AA
табигданхай	T A VJ I G D EH N H EE
табигдаһаан	T A VJ I G D EH HH AA NG
табигдаһан	T A VJ I G D EH HH EH NG
табигшад	T A VJ I K SH EH T
табидаг	T A VJ I D EH K
табижа	T A VJ I ZH EH
табилсаа	T A VJ I L S AA
табимаар	T A VJ I M AA R
табиха	T A VJ I H EH
табихаш	T A VJ I H EH SH
табихаһаа	T A VJ I H EH HH AA
табиһан	T A VJ I HH EH NG
табяа	T A VJ AA
таисия	T A I SJ I J A
тайвань	T A J V A NJ
тайзан	T EE Z EH NG
тайланд	T A J L A N D
тайлбарилаатай	T EE L V EH RJ I L AA T EE
тайлбарилха	T EE L V EH RJ I L H EH
тайлга	T EE L Gr EH
тайлган	T EE L Gr EH NG
тайна	T EE N EH
тала	T A L EH
талаан	T A L AA NG
талаангаа	T A L AA NG G AA
талааниинь	T A L AA NJ II NJ
талаантай	T A L AA N T EE
талаар	T A L AA R
талаараа	T A L AA R AA
таладань	T A L EH D EH NJ
талаһаа	T A L EH HH AA
талаһаань	T A L EH HH AA NJ
талисман	T A LJ I S M A NG
талмайн	T A L M EE NG
талхатай	T A L H EH T EE
талые	T A L Y J EH
талын	T A L Y NG
тамирай	T A MJ I R EE
таммиинэн	T A M MJ II N E NG
тамминэн	T A M MJ I N E NG
тамминэни	T A M MJ I N E NJ I
танай	T A N EE
тангадай	T A NG G EH D EE
тангатовна	T A NG G A T O V N A
тангатовнагай	T A NG G A T O V N A Gr EE
танда	T A N D EH
таниие	T A NJ I J EH
танил	T A NJ I L
танилсаа	T A NJ I L S AA
танилсаабди	T A NJ I L S AA B DJ I
танилсаад	T A NJ I L S AA T
танилсалга	T A NJ I L S EH L Gr EH
танилсаха	T A NJ I L S EH H EH
танилсаһан	T A NJ I L S EH HH EH NG
танилсуулаа	T A NJ I L S UUh L AA
танилсуулха	T A NJ I L S UUh L H EH
танхим	T A N HJ I M
тараадаг	T A R AA D EH K
тарааха	T A R AA H EH
тараашад	T A R AA SH EH T
тараашадбди	T A R AA SH EH D B DJ I
тараһан	T A R EH HH EH NG
тарбагатайская	T A R B A G A T A J S K A J A
тарган	T A R Gr EH NG
тартай	T A R T EE
таряалан	T A RJ AA L EH NG
таряаша	T A RJ AA SH EH
татаа	T A T AA
татаарнууд	T A T AA R N UUh T
татаатай	T A T AA T EE
татааш	T A T AA SH
татагдадаг	T A T EH G D EH D EH K
татан	T A T EH NG
татана	T A T EH N EH
татаса	T A T EH S EH
татаһан	T A T EH HH EH NG
татуулаа	T A T UUh L AA
татьяна	T A TJ J A N A
ташаба	T A SH EH V EH
ташажал	T A SH EH ZH EH L
ташалгаар	T A SH EH L Gr AA R
ташалганда	T A SH EH L Gr EH N D EH
ташуурдуулааб	T A SH UUh R D UUh L AA P
таһаг	T A HH EH K
таһагай	T A HH EH Gr EE
таһагта	T A HH EH G T EH
таһалга	T A HH EH L Gr EH
таһалгада	T A HH EH L Gr EH D EH
таһалхагүйн	T A HH EH L H EH Gr UIs NG
таһалһан	T A HH EH L HH EH NG
таһараа	T A HH AA R AA
таһараагүй	T A HH EH R AA Gr UIs
театр	TJ E A T R
театрай	TJ E A T R EE
театрайнгаа	TJ E A T R EE NG G AA
театрайхид	TJ E A T R EE HJ I T
театральна	TJ E A T R A LJ N EH
театрнуудай	TJ E A T R N UUh D EE
температура	TJ E M PJ E R A T Uh R A
теравада	TJ E R A V A D A
терапи	TJ E R A PJ I
технологическа	TJ E H N O L O GJ I CH EH S K EH
теэд	TJ EE T
тиигэбэл	TJ II Gr EH V EH L
тиигэбэшье	TJ II Gr EH V EH SH J EH
тиигэжэ	TJ II Gr EH ZH EH
тиигээд	TJ II Gr EE T
тиигээдшье	TJ II Gr EE D SH Y J EH
тиигэһээр	TJ II Gr EH HH EE R
тиимэ	TJ II M EH
тиимэл	TJ II M EH L
тиимэшиимэш	TJ II M EH SH J M EH SH
тиимэшье	TJ II M EH SH J EH
тиимэһээ	TJ II M EH HH EE
тиин	TJ II NG
тиихэ	T II H EH
тиихэдэ	TJ II H EH D EE
тиихэдэнь	TJ II H EH D EH NJ
тиихэдээ	TJ II H EH D EE
тиишэ	TJ II SH EH
тиишээ	TJ II SH EE
тимофей	TJ I M O FJ E J
тимур	TJ I M Uh R
тобир	T O VJ I R
тогооной	T O Gr OOh N EE
тогоошон	T O Gr OOh SH EH NG
тогтоол	T O K T OOh L
тогтоохо	T O K T OOh H EH
тогтохоевна	T O K T EH H O J EH V N A
тогтошонгүй	T O K T EH SH EH N G UIs
тогтоһон	T O K T EH HH EH NG
тодорбо	T O D EH R V EH
тойрогой	T OE R EH Gr EE
тойрогоор	T OE R EH Gr OOh R
тойрогто	T OE R EH K T EH
тойроод	T OE R OOh T
